Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	# Decoy Protein: Combined	Coverage [%]	# Peptides	# PSMs	# Protein Unique Peptides	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Grouped): Empty	Abundances (Grouped): T1A	Abundances (Grouped): T1H	Abundances (Grouped): T3A	Abundances (Grouped): T3H	Abundances (Grouped): T5A	Abundances (Grouped): T5H	Abundances (Grouped): Wild	Abundances (Grouped) CV [%]: Empty	Abundances (Grouped) CV [%]: T1A	Abundances (Grouped) CV [%]: T1H	Abundances (Grouped) CV [%]: T3A	Abundances (Grouped) CV [%]: T3H	Abundances (Grouped) CV [%]: T5A	Abundances (Grouped) CV [%]: T5H	Abundances (Grouped) CV [%]: Wild	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Abundances Count: F1: 127C, Sample, Empty"	"Abundances Count: F1: 128C, Sample, Empty"	"Abundances Count: F1: 128N, Sample, T1A"	"Abundances Count: F1: 129N, Sample, T1A"	"Abundances Count: F1: 129C, Sample, T1H"	"Abundances Count: F1: 130N, Sample, T1H"	"Abundances Count: F1: 130C, Sample, T3A"	"Abundances Count: F1: 131N, Sample, T3A"	"Abundances Count: F1: 131C, Sample, T3H"	"Abundances Count: F1: 132N, Sample, T3H"	"Abundances Count: F1: 132C, Sample, T5A"	"Abundances Count: F1: 133N, Sample, T5A"	"Abundances Count: F1: 133C, Sample, T5H"	"Abundances Count: F1: 134N, Sample, T5H"	"Abundances Count: F1: 126, Sample, Wild"	"Abundances Count: F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g22823.t1	Montipora_capitata_KBHIv3___RNAseq.g22823.t1	0	16.239	0	10	5	5	5	5	564	63.3	5.96	6.77	5	0		98.7	100.1	91.6	116.4	106.4	113.3	103.6		18.57	2.42	3.78	12.87	3.23	8.37	18.23			112.7	86.5	98.4	101.8	94	89.2	106.3	127.6	104	108.9	120.2	106.7	91	117.9			3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30619.t1	Montipora_capitata_KBHIv3___RNAseq.g30619.t1	0	158.172	0	14	44	71	7	7	2817	325	5.34	70.79	44	0	811	599.4	610.7	516	587.6	1067.3	957.8	620		17.85	10.68	11.28	5.93	61.02	66.44	16.96		811	527.9	680.4	658.8	566.2	476.3	558.9	612.7	563.4	1693.5	672.6	575.2	1594.8	549.6	699.4		3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g26794.t1	Montipora_capitata_KBHIv3___RNAseq.g26794.t1	0.002	2.982	13	2	1	1	1	1	454	51.4	7.85	2.27	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37331.t1	Montipora_capitata_KBHIv3___RNAseq.g37331.t1	0.003	2.85	15	7	1	1	1	1	139	16.3	5.86	0	1	0	445.6	207.2	181.9	189.2	216.5	126.2	212.2	200.6		6.84	3.22	0.05	5.92	58.59	2.71	7.27		445.6	197.4	217.5	177.8	186.1	189.1	189.2	207.6	225.7	81.2	196.1	216.3	208.1	211.2	190.6		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Durusdinium_trenchii_CCMP2556_v1___s63_g5242	Durusdinium_trenchii_CCMP2556_v1___s63_g5242	0	6.314	0	3	2	3	0	1	709	80.3	8.73	2.22	2	0																																																	Not Found	Not Found	High	High	High	High	High	High	Not Found	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11837.t1	Montipora_capitata_KBHIv3___RNAseq.g11837.t1	0	14.672	0	34	6	8	4	4	190	22	5.17	4.65	6	2		394	375.2	333.2	335.2	351.2	388.4	424.8		2.69	5.54	2.09	5.34	16.15	15.51	0.18			401.5	386.5	360.7	390.2	338.2	328.3	348.1	322.8	313.1	393.9	433.6	347.9	425.4	424.3			3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20755.t1	Montipora_capitata_KBHIv3___RNAseq.g20755.t1	0	5.088	1	8	1	2	1	1	329	34.8	5.03	0	1	0		23.9	13.7	32.3	8.1	23.8	17.7	52.6		30.15	32.27	15.11	10.98	70.59	75.34	47.56			19.3	29.7	17.3	10.9	29.1	36	7.5	8.7	41.1	13.7	9.8	32.1	37.1	74.7			1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48852.t1a	Montipora_capitata_KBHIv3___RNAseq.g48852.t1a	0.007	1.924	46	1	1	1	1	1	1475	166.1	7.27	0	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6169.t1	Montipora_capitata_KBHIv3___RNAseq.g6169.t1	0.001	3.436	7	2	1	1	1	1	683	77.2	5.9	0	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20752.t1c	Montipora_capitata_KBHIv3___RNAseq.g20752.t1c	0	4.917	1	4	1	2	1	1	357	38.7	4.67	0	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3474.t1	Montipora_capitata_KBHIv3___RNAseq.g3474.t1	0	14.108	0	6	5	5	5	5	997	114.1	5.11	6.85	5	0		153.4	230.4	150	241	147.3	198.5	165.5		0.45	13.24	4.88	5.03	8.56	3.11	3.89			153.9	153	209.8	253.1	155.2	144.9	232.6	249.7	138.7	156.5	202.9	194.2	161	170.1			2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g18365.t2	Montipora_capitata_KBHIv3___TS.g18365.t2	0	6.54	0	7	1	1	1	1	299	33.5	8.29	2.09	1	0		28	20.9	14.2	20.2	36.5	35.7	17.3		12.44	20.92	18.42	33.79	3.23	26.43	27.48			25.6	30.5	18	24.2	16.1	12.4	15.8	25.7	35.6	37.3	43.1	29.6	14.2	21			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48102.t1	Montipora_capitata_KBHIv3___RNAseq.g48102.t1	0	18.038	0	19	6	7	1	1	328	36.5	8.38	1.65	6	3	492.5	107	102.7	107.4	104.6	102.9	47	112.1		10.54	10.04	11.33	11.6	9.01	94.58	25.34		492.5	99.3	115.3	110.2	95.6	116.4	99.2	96.3	113.5	96.5	109.6	105.6	21	134.4	93.5		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Durusdinium_trenchii_CCMP2556_v1___s1081_g35216	Durusdinium_trenchii_CCMP2556_v1___s1081_g35216	0	4.201	1	9	2	2	2	2	357	38.5	6.06	5.4	2	0		50.6	36	68.6	14.4	38.1	48.7	49.6		24.74	14.85	12.21	26.81	20.9	83.83	39.02			42.4	60.4	40	32.4	62.9	74.8	17.4	11.8	44.3	32.9	24.6	96.3	37.4	65.8			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34927.t1	Montipora_capitata_KBHIv3___RNAseq.g34927.t1	0.006	2.103	36	1	1	1	1	1	1098	123.6	4.92	0	1	0	110.6	75.2	111.6	125.7	93.9	97.7	97.8	86.4		9.65	13.77	22.3	4.02	31.81	2.6	4.92		110.6	80.5	70.2	123	101.2	147.4	107.2	96.6	91.2	122.8	77.7	96	99.6	89.4	83.4		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35363.t1	Montipora_capitata_KBHIv3___RNAseq.g35363.t1	0	16.092	0	7	3	4	3	3	631	72.7	6.77	8.15	3	0		64.4	43	69.2	55.8	36.4	48.7	61.9		11.35	18.84	5.64	10.84	19.91	13.64	3.98			69.8	59.4	49.2	37.6	72	66.5	51.7	60.3	31.6	42	44.2	53.7	63.7	60.2			2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g32319.t1	Montipora_capitata_KBHIv3___TS.g32319.t1	0.009	1.825	58	2	1	1	1	1	402	45.2	7.4	0	1	0	138.4	43	43.8	54.6	31.5	47.6	15.4	47		5.09	12	14.41	8.19	2.13	115.45	2.87		138.4	41.5	44.6	40.2	47.7	60.5	49.3	33.3	29.7	48.4	46.9	48.5	4.9	46.1	48		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Durusdinium_trenchii_CCMP2556_v1___s411_g20080	Durusdinium_trenchii_CCMP2556_v1___s411_g20080	0.009	1.844	57	3	1	1	1	1	327	35.7	5.08	2.39	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g38908.t1	Montipora_capitata_KBHIv3___RNAseq.g38908.t1	0	9.503	0	14	2	2	2	2	230	25.7	5.99	2.63	2	0																																																	Not Found	Not Found	High	High	High	Not Found	High	High	High	High	High	High	High	High	High	Not Found	1	
FALSE	High	Master Protein	Durusdinium_trenchii_CCMP2556_v1___s1123_g35811	Durusdinium_trenchii_CCMP2556_v1___s1123_g35811	0.009	1.803	60	5	1	1	1	1	235	24.8	4.45	0	1	0																																																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g5546.t1	Montipora_capitata_KBHIv3___RNAseq.g5546.t1	0	11.341	0	15	4	4	4	4	402	44.1	4.93	5.1	4	0		27.6	33	23.3	35.8	33.3	25.8	24.5		10.82	24.56	28.46	9.43	6.36	3.63	3.15			25.5	29.8	39.3	27.7	28.6	19	33.5	38.3	31.9	34.9	26.5	25.1	23.9	25			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g1192.t1	Montipora_capitata_KBHIv3___RNAseq.g1192.t1	0	4.886	1	4	1	1	1	1	402	45	6.65	2.17	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29504.t1	Montipora_capitata_KBHIv3___RNAseq.g29504.t1	0.008	1.869	56	1	1	1	1	1	1956	221.3	5.52	0	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g13171.t1	Montipora_capitata_KBHIv3___RNAseq.g13171.t1	0	4.554	1	1	1	1	1	1	1149	131	6.6	0	1	0		16.3	20.3	22.6	23.3	21	24.6	20.9		18.19	10.59	26.94	17.99	6.18	12.24	21.29			18.5	14.3	21.9	18.9	27.5	18.7	20.5	26.5	21.9	20.1	26.8	22.5	24.3	18			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41346.t1	Montipora_capitata_KBHIv3___RNAseq.g41346.t1	0.002	3.028	13	5	1	1	1	1	479	53.4	9.01	2.37	1	0																																																	Not Found	Not Found	High	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.18025_t	Montipora_capitata_KBHIv3___RNAseq.18025_t	0	15.269	0	12	3	5	3	3	299	35.2	5.85	5.63	3	0	184.7	256.4	257.6	254.9	197.2	283.2	202.1	232.8		7.76	20.81	20.04	4.63	7.93	6.68	3.94		184.7	270.9	242.7	222.1	298.8	221.1	294	203.7	190.8	299.6	267.7	211.9	192.8	226.4	239.4		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11574.t1	Montipora_capitata_KBHIv3___RNAseq.g11574.t1	0	10.91	0	16	4	5	4	4	291	33.1	7.01	8.95	4	0	1108.4	712.4	462.2	654.4	345.1	846	452.4	687.2		30.97	22.25	7.2	2.15	30.63	12.72	10.71		1108.4	889.9	570.2	394.4	541.6	688.6	621.9	339.9	350.4	678.9	1054.2	413.4	495	637	741.4		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34944.t1	Montipora_capitata_KBHIv3___RNAseq.g34944.t1	0	5.095	1	10	1	2	1	1	157	18.5	7.09	2.05	1	0		65.8	69	71.4	74.2	72.8	77.2	58.5		0.34	9.54	6.18	12.06	15.62	1.43	19.56			66	65.6	64.5	73.8	68.3	74.6	68.1	80.8	65.2	81.4	78	76.4	50.9	67.2			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6455.t1	Montipora_capitata_KBHIv3___RNAseq.g6455.t1	0	16.474	0	9	4	5	4	4	545	64.4	6.15	8.41	4	0	542.5	280.3	330.3	344.1	253.7	281.4	268.8	270.7	16.76	6.67	9.89	5.66	8.04	23.92	1.34	9.29	481.6	611	267.4	293.9	307.9	354.3	330.6	358.2	268.6	239.7	333.8	237.2	266.3	271.4	289.1	253.5	1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g9053.t1	Montipora_capitata_KBHIv3___RNAseq.g9053.t1	0	10.678	0	12	3	3	3	3	306	34.6	8.88	4.92	3	0		68	58.6	69.4	75.3	63.2	66	63.2		19.4	17.7	0.15	6.3	2.23	7.38	7.42			78	59.2	51.7	66.5	69.3	69.4	78.7	72	64.2	62.2	62.7	69.6	66.6	60			2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23224.t1	Montipora_capitata_KBHIv3___RNAseq.g23224.t1	0	8.036	0	8	2	2	1	2	285	32.5	7.15	4.81	2	0	864.4	31.2	34.5	38.1	32.5	49.3	32.4	17.5		9.97	19.81	24.86	17.39	87.75	74.81	5.34	864.4		29.1	33.5	30	39.8	31.9	45.5	36.8	28.7	101.8	23.9	58.5	18	18.2	16.8	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g45955.t1	Montipora_capitata_KBHIv3___RNAseq.g45955.t1	0	17.395	0	13	5	6	5	5	549	60.3	6.92	2.43	5	0	479.7	491.4	397.1	510.9	376.4	600.9	481.8	557.8		10.67	24.82	3.44	8.5	27.01	14.81	7.15		479.7	455.6	530	474.2	332.6	523.5	498.6	354.5	399.8	729	495.2	433.7	535.2	586.8	530.3		2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g14964.t1	Montipora_capitata_KBHIv3___RNAseq.g14964.t1	0.006	2.073	38	5	1	1	1	1	295	33.6	9.13	0	1	0																																																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	1	
