Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30394.t1	Montipora_capitata_KBHIv3___RNAseq.g30394.t1	0.001	FALSE	4.173	7	1	1	1	327	36.3	7.09	2.89	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g27531.t1	Montipora_capitata_KBHIv3___TS.g27531.t1	0.007	FALSE	1.898	5	1	1	1	203	23	7.8	2.01	1	0																	Not Found	Not Found	High	Not Found	High	High	High	High	High	High	Not Found	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15934.t1	Montipora_capitata_KBHIv3___RNAseq.g15934.t1	0	FALSE	20.829	27	4	4	4	217	23.8	6.54	3.59	4	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11603.t1	Montipora_capitata_KBHIv3___RNAseq.g11603.t1	0.002	FALSE	2.566	3	1	1	1	282	30.8	6.29	1.9	1	0																	Not Found	Not Found	High	High	High	Not Found	High	High	High	Not Found	High	High	High	High	High	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g5036.t1	Montipora_capitata_KBHIv3___RNAseq.g5036.t1	0	FALSE	28.678	10	5	6	5	588	66.7	6.11	6.19	5	0	319.5	669.6	169.4	193.5	270.8	220.3	163.1	205.8	205.3	169.6	175	143.5	153.2	161.8	154	162.3	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g8851.t1	Montipora_capitata_KBHIv3___RNAseq.g8851.t1	0.002	FALSE	2.497	3	1	1	1	360	39.7	7.09	1.65	1	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g46760.t1	Montipora_capitata_KBHIv3___TS.g46760.t1	0	FALSE	12.349	16	5	5	5	236	26.9	7.09	4.1	5	0		1202.5	534.6	649.4	778.3	614.9	452.3	596.8	725.9	543.5	667.9	531.3	570.8	453.3	576.2	612.2	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11565.t1	Montipora_capitata_KBHIv3___RNAseq.g11565.t1	0	FALSE	22.119	14	6	7	6	428	48.4	6.54	6.77	6	0		958.8	193.5	184.3	245.6	258	154	184.3	466.5	465.6	249.5	202.3	557.8	296	152.7	181	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g2907.t1	Montipora_capitata_KBHIv3___RNAseq.g2907.t1	0	FALSE	8.97	17	2	2	2	159	18	6.99	0	2	0			79.5	74.9	106.9	105.3	84.4	60.7	116.9	115.1	103.7	93.2	126.3	108.9	89.7	81.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30562.t1	Montipora_capitata_KBHIv3___RNAseq.g30562.t1	0	FALSE	5.726	7	3	3	3	417	45.9	6.47	3.47	3	0			41	38.7	42.2	33.4	28	37.2	27.2	36.2	32.4	40.7	37.8	29.6	39.6	49.2	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g7480.t1	Montipora_capitata_KBHIv3___RNAseq.g7480.t1	0	FALSE	45.203	21	8	17	8	463	53.4	5.72	23.28	8	0	286.3	331.5	661.3	532.5	430.5	516.1	470.1	462.3	355.5	329.3	379.8	643.2	362.6	470.6	436.1	472.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g440.t1	Montipora_capitata_KBHIv3___RNAseq.g440.t1	0.001	FALSE	4.641	7	1	1	1	163	18.6	4.67	0	1	0			181.7	237.5	261.3	163.2	231.7	169.3	187	149.4	466.8	201.1	179.2	121.7	114.3	165.4	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39314.t1	Montipora_capitata_KBHIv3___RNAseq.g39314.t1	0	FALSE	6.582	4	2	2	2	847	94.6	6.84	1.65	2	0			21.2	25.2	27	22.7	37	30.1	38.2	43.3	2.3	22.7	33.1	18.1	17.8	22.2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15000.t1	Montipora_capitata_KBHIv3___RNAseq.g15000.t1	0	FALSE	20.411	19	6	9	6	313	35.4	4.86	4.23	6	0		687.9	599.5	534.2	681.6	655.4	624.3	680.7	595.4	395	553.4	442.8	475.6	447.5	672.3	596.8	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g40389.t1	Montipora_capitata_KBHIv3___RNAseq.g40389.t1	0.002	FALSE	3.279	1	1	1	1	1519	169.9	8.53	2.51	1	0		278.7	67.7	72.8	75.2	83.4	83.8	62	70.8	64.1	70	72.3	56.3	67.4	66.4	77.1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23037.t1	Montipora_capitata_KBHIv3___RNAseq.g23037.t1	0	FALSE	7.673	3	2	2	2	1122	126.2	6.9	5.47	2	0	1167.5		93.8	116.4	78.1	67.8	83.8	120.1	118.4	104.8	114.4	133.6	196.6	57.3	66	112.1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g21008.t1	Montipora_capitata_KBHIv3___RNAseq.g21008.t1	0	FALSE	24.581	23	3	4	3	258	27.1	8.19	0	3	0	134.2	687.3	194.3	133.1	190.4	178.4	158.3	177.8	271.9	222.6	204.9	155.9	231.9	170.8	146.8	164.4	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20381.t1	Montipora_capitata_KBHIv3___RNAseq.g20381.t1	0.002	FALSE	3.244	2	1	1	1	590	65.6	6.52	1.95	1	0																	Not Found	Not Found	High	High	Not Found	High	High	High	High	High	Not Found	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g29220.t1	Montipora_capitata_KBHIv3___TS.g29220.t1	0	FALSE	5.793	5	2	2	2	580	64.7	5.85	2.03	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___TS.g38889.t1	Montipora_capitata_KBHIv3___TS.g38889.t1	0.04	FALSE	1.066	3	1	1	1	423	47.1	5.33	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34251.t1	Montipora_capitata_KBHIv3___RNAseq.g34251.t1	0	FALSE	31.552	28	7	14	6	256	29	5.85	9.44	7	0	1241.6	368.9	804.7	754	659.4	756.4	727.8	650.1	789.4	846	983.7	952	928.9	932	819.5	816.7	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g14994.t1	Montipora_capitata_KBHIv3___RNAseq.g14994.t1	0	FALSE	5.912	20	2	2	2	109	12.6	8.68	0	2	0	65.2		71.2	61.2	54.2	53.8	60.1	72.5	43	46.7	65.4	58.8	54.5	63.5	41.2	65.2	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39107.t1	Montipora_capitata_KBHIv3___RNAseq.g39107.t1	0.01	FALSE	1.701	1	1	1	1	685	76.2	6.58	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g18707.t1b	Montipora_capitata_KBHIv3___TS.g18707.t1b	0.001	FALSE	3.791	6	1	1	1	198	21.8	6.55	0	1	0			165.7	124.9	188.4	183	209.6	163.5	182.7	171.9	122	117.2	125.3	140.4	213.8	148.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g38140.t1	Montipora_capitata_KBHIv3___TS.g38140.t1	0	FALSE	20.472	9	3	3	3	601	66	8.4	10.73	3	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.10831_t	Montipora_capitata_KBHIv3___RNAseq.10831_t	0	FALSE	8.511	5	3	3	3	583	64.2	5.69	3.54	3	0			18.2	16.3	16.2	10.1	16.7	18.5	9	3.7	17.4	13.8	10.6	16.4	25	38.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34604.t1	Montipora_capitata_KBHIv3___RNAseq.g34604.t1	0.026	FALSE	1.244	1	1	1	1	1897	207.8	4.98	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12017.t1	Montipora_capitata_KBHIv3___RNAseq.g12017.t1	0	FALSE	5.319	3	2	2	2	890	99.5	5.21	2.28	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11211.t1	Montipora_capitata_KBHIv3___RNAseq.g11211.t1	0	FALSE	24.554	10	7	9	7	910	103.7	5.47	9.88	7	0		1826.4	706.8	677.2	789.2	799.6	704.5	681.7	743	676.3	727.5	628.5	675.6	629	657.6	622.4	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g14633.t1	Montipora_capitata_KBHIv3___RNAseq.g14633.t1	0	FALSE	29.614	13	9	10	4	630	71.2	8.32	3.33	9	0	958.5	930.5	87	99.6	121.5	110.1	100.4	101.9	112.7	98.6	91.7	91.7	103.4	69.6	98.2	101	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39759.t1	Montipora_capitata_KBHIv3___RNAseq.g39759.t1	0.002	FALSE	2.714	3	1	1	1	341	38.8	5.76	0	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48641.t1	Montipora_capitata_KBHIv3___RNAseq.g48641.t1	0	FALSE	124.535	39	20	100	20	626	70	6.27	148.05	20	0	4483.6	2633.8	3043.8	2234.8	2523	3280.1	2391.3	2575.4	2571.4	2929.1	2353.6	2858.4	3209.2	1905.9	3114.6	2541.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35121.t1	Montipora_capitata_KBHIv3___RNAseq.g35121.t1	0	FALSE	67.878	21	16	21	16	884	98	5.6	27.1	16	0			678.2	668.9	636.9	682.4	676.8	661.6	608.7	591.7	588.1	778	597.7	627.9	707.3	641.4	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35088.t1	Montipora_capitata_KBHIv3___RNAseq.g35088.t1	0	FALSE	12.005	6	4	4	2	718	82	7.59	2.13	4	1			203.6	155.5	224.1	229	202.3	195.5	305	350.7	199.1	143.2	229.5	109.2	229.5	139.2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37128.t1	Montipora_capitata_KBHIv3___RNAseq.g37128.t1	0.005	FALSE	2.105	1	1	1	1	606	68.3	7.64	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g40477.t1	Montipora_capitata_KBHIv3___RNAseq.g40477.t1	0.023	FALSE	1.301	15	1	1	1	101	11.8	9.25	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35559.t1	Montipora_capitata_KBHIv3___RNAseq.g35559.t1	0.001	FALSE	3.545	3	1	1	1	490	53.7	7.55	2.26	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15817.t2	Montipora_capitata_KBHIv3___RNAseq.g15817.t2	0	FALSE	20.968	24	6	7	6	375	42.3	6.73	9.07	6	0		334.6	445.6	408.7	529.1	480	445	526.8	400.4	391.2	499.5	396.2	406.2	497	384.9	366.1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37576.t1	Montipora_capitata_KBHIv3___RNAseq.g37576.t1	0	FALSE	28.82	10	7	8	7	777	87.6	8.16	5.5	7	0	519.3		447.8	473.5	510.7	548	740.4	657.7	472.5	532.9	298	401	618.8	657	519.5	517.9	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41317.t1	Montipora_capitata_KBHIv3___RNAseq.g41317.t1	0	FALSE	17.956	9	4	4	4	607	68.8	7.27	4.25	4	0			19.5	18.4	17.7	11.5	20.3	18.5	19.1	23.9	19.7	16.3	16.6	20	16.2	16.2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41691.t2	Montipora_capitata_KBHIv3___RNAseq.g41691.t2	0.002	FALSE	2.854	6	2	2	2	378	44.2	10.13	0	2	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41882.t1	Montipora_capitata_KBHIv3___RNAseq.g41882.t1	0	FALSE	27.978	21	7	7	7	405	46.2	7.66	8.63	7	0	203.2	616.6	296.1	296.1	262.6	259.8	315.6	324.8	262.7	224.3	266.7	224.7	180.4	161.2	270.9	303.1	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27801.t1	Montipora_capitata_KBHIv3___RNAseq.g27801.t1	0	FALSE	8.553	13	2	2	2	208	23.2	5.22	0	2	0			89.4	90.5	124.2	95.8	119.2	123.5	120.1	105.3	93.7	111.4	118.9	154.1	90.7	98.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44076.t1	Montipora_capitata_KBHIv3___RNAseq.g44076.t1	0	FALSE	13.75	6	3	3	3	649	72.5	5.11	6.5	3	0		220.5	122.9	142.2	89.2	97.1	98.6	106.9	89.1	88.5	61.9	136.5	98.1	75.6	115.1	101.8	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g4869.t1	Montipora_capitata_KBHIv3___RNAseq.g4869.t1	0	FALSE	12.898	16	5	7	5	309	34.3	7.36	12	5	0			82.4	78.3	79.9	91.9	84.5	88	92.3	88.8	68.5	80.8	80.1	40.7	100	86.9	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27061.t1	Montipora_capitata_KBHIv3___RNAseq.g27061.t1	0.002	FALSE	2.241	2	1	1	1	451	51.1	8.97	2.28	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	Not Found	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g10406.t1	Montipora_capitata_KBHIv3___RNAseq.g10406.t1	0	FALSE	8.58	7	2	4	2	344	37.3	8.32	6.83	2	0			28.7	19.4	23.6	18.8	20	17.9	20.1	19.8	24	22.8	20.9	21.6	16.6	18.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g22708.t1	Montipora_capitata_KBHIv3___TS.g22708.t1	0	FALSE	17.715	15	4	6	4	429	46.5	6.52	11.53	4	0			64	41.8	34.9	60.7	74.9	83.3	40.7	49	50.6	33.9	42.2	49.8	105.4	86	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g33488.t1	Montipora_capitata_KBHIv3___RNAseq.g33488.t1	0.005	FALSE	2.073	18	1	1	1	131	14.7	7.01	2.64	1	0																	Not Found	Not Found	Not Found	High	High	High	High	High	High	High	Not Found	High	High	Not Found	High	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g44376.t1	Montipora_capitata_KBHIv3___TS.g44376.t1	0.001	FALSE	3.861	4	1	1	1	316	36.5	6.13	1.6	1	0																	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6884.t1	Montipora_capitata_KBHIv3___RNAseq.g6884.t1	0.02	FALSE	1.355	0	1	1	1	3777	430	6.68	1.85	1	0																	Not Found	Not Found	High	High	High	Not Found	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19683.t1	Montipora_capitata_KBHIv3___RNAseq.g19683.t1	0.032	FALSE	1.167	2	1	1	1	628	70.3	6.06	2.51	1	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20132.t1	Montipora_capitata_KBHIv3___RNAseq.g20132.t1	0.001	FALSE	3.956	5	1	1	1	333	37	7.34	0	1	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48256.t1	Montipora_capitata_KBHIv3___RNAseq.g48256.t1	0	FALSE	31.479	13	8	10	5	675	74.8	5.39	11.46	8	1	449.3		31.5	29.1	38.9	39.5	30.7	40.6	38.1	55.1	226.5	38.3	76.7	31.3	30.2	25.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
